-9	3
-14	3
-26	5
-36	6
-41	3
-43	1
-47	1
-47	-1
-39	-6
-27	-2
-11	2
1	4
7	3
17	2
24	7
28	6
28	0
28	1
30	8
30	5
29	1
29	8
31	7
34	2
39	-5
42	-20
38	-24
27	-17
-5	1
-16	10
-15	18
-19	17
-32	13
-40	12
-43	13
-43	9
-44	6
-44	2
-47	-1
-48	0
-44	-4
-44	-6
-45	2
-45	4
-41	3
-37	4
-31	5
-24	3
-13	3
2	5
18	2
28	3
36	5
39	4
38	5
34	8
31	10
33	6
35	3
34	-2
31	-7
24	-10
18	-9
10	-11
5	-8
-3	3
-16	10
-33	15
-39	18
-41	18
-42	18
-43	13
-43	3
-45	0
-44	-1
-43	-5
-48	-1
-51	4
-51	3
-46	2
-39	1
-32	2
-22	4
-11	5
3	5
16	5
26	5
35	4
39	3
39	1
35	2
32	5
33	8
33	5
33	-1
30	-7
27	-11
20	-14
14	-11
8	-10
5	-9
2	-7
-3	2
-13	8
-24	11
-34	14
-37	18
-39	20
-41	18
-45	13
-48	9
-49	9
-49	8
-47	4
-45	3
-42	7
-39	9
-28	7
-18	3
-5	4
4	6
9	6
12	3
14	1
16	1
20	2
21	2
19	1
11	-1
4	0
-3	0
-8	-1
-9	-2
-5	1
-1	4
2	6
3	7
1	6
0	5
-1	5
-1	4
-2	3
-4	0
-5	0
-5	0
-5	-1
-6	-2
-6	-3
-7	-1
-8	-1
-9	-2
-8	-3
-6	-1
-6	-1
-7	-1
-6	-1
-7	-1
-8	-2
-7	-6
